# FLASH-like analytic profile
# columns:
# r_cm dens_gcm3 temp_MeV ye pres_dummy entr_dummy
5.60561e+06 3.07709e+08 1.9192 0.0626126 5.90554e+08 0.00284275
5.80581e+06 2.32392e+08 1.74591 0.0630631 4.05736e+08 0.00283976
6.00601e+06 1.77188e+08 1.58913 0.0635135 2.81576e+08 0.00282932
6.20621e+06 1.36305e+08 1.44729 0.063964 1.97273e+08 0.00281223
6.40641e+06 1.05732e+08 1.31896 0.0644144 1.39455e+08 0.0027893
6.60661e+06 8.26596e+07 1.20285 0.0648649 9.94268e+07 0.00276129
6.80681e+06 6.50989e+07 1.0978 0.0653153 7.14654e+07 0.00272896
7.00701e+06 5.16251e+07 1.00275 0.0657658 5.17672e+07 0.00269303
7.20721e+06 4.12083e+07 0.916763 0.0662162 3.77783e+07 0.00265417
7.40741e+06 3.30972e+07 0.838964 0.0666667 2.77674e+07 0.00261304
7.60761e+06 2.67385e+07 0.768575 0.0671171 2.05505e+07 0.00257024
7.80781e+06 2.17214e+07 0.704891 0.0675676 1.53112e+07 0.00252635
8.00801e+06 1.77388e+07 0.647273 0.068018 1.14819e+07 0.00248187
8.20821e+06 1.45591e+07 0.595144 0.0684685 8.66476e+06 0.00243731
8.40841e+06 1.20063e+07 0.54798 0.0689189 6.57924e+06 0.0023931
8.60861e+06 9.94621e+06 0.505308 0.0693694 5.0259e+06 0.00234965
8.80881e+06 8.2753e+06 0.466702 0.0698198 3.8621e+06 0.00230734
9.00901e+06 6.91361e+06 0.431772 0.0702703 2.9851e+06 0.00226648
9.20921e+06 5.79886e+06 0.40017 0.0707207 2.32053e+06 0.00222739
9.40941e+06 4.88228e+06 0.371578 0.0711712 1.81414e+06 0.00219033
9.60961e+06 4.12549e+06 0.345709 0.0716216 1.42622e+06 0.00215552
9.80981e+06 3.49813e+06 0.322304 0.0720721 1.12746e+06 0.00212318
1.001e+07 2.97608e+06 0.301129 0.0725225 896186 0.00209349
1.02102e+07 2.54006e+06 0.281971 0.072973 716223 0.0020666
1.04104e+07 2.1746e+06 0.264638 0.0734234 575480 0.00204264
1.06106e+07 1.86723e+06 0.248955 0.0738739 464858 0.00202173
1.08108e+07 1.60789e+06 0.234767 0.0743243 377478 0.00200394
1.1011e+07 1.38837e+06 0.22193 0.0747748 308120 0.00198937
1.12112e+07 1.20199e+06 0.210316 0.0752252 252798 0.00197805
1.14114e+07 1.04329e+06 0.199808 0.0756757 208458 0.00197005
1.16116e+07 907781 0.190301 0.0761261 172752 0.00196538
1.18118e+07 791752 0.181699 0.0765766 143861 0.00196407
1.2012e+07 692142 0.173917 0.077027 120375 0.00196612
1.22122e+07 606410 0.166876 0.0774775 101196 0.00197154
1.24124e+07 532441 0.160506 0.0779279 85460.1 0.00198032
1.26126e+07 468469 0.154743 0.0783784 72492.2 0.00199243
1.28128e+07 413015 0.149528 0.0788288 61757.4 0.00200787
1.3013e+07 364837 0.144811 0.0792793 52832.2 0.0020266
1.32132e+07 322889 0.140542 0.0797297 45379.6 0.00204859
1.34134e+07 286290 0.136681 0.0801802 39130.3 0.00207382
1.36136e+07 254293 0.133187 0.0806306 33868.4 0.00210224
1.38138e+07 226262 0.130025 0.0810811 29419.9 0.00213382
1.4014e+07 201661 0.127165 0.0815315 25644.2 0.00216851
1.42142e+07 180027 0.124578 0.081982 22427.4 0.00220628
1.44144e+07 160970 0.122237 0.0824324 19676.5 0.00224709
1.46146e+07 144153 0.120119 0.0828829 17315.4 0.00229088
1.48148e+07 129286 0.118202 0.0833333 15281.9 0.00233763
1.5015e+07 116122 0.116468 0.0837838 13524.6 0.00238728
1.52152e+07 104447 0.1149 0.0842342 12000.9 0.0024398
1.54154e+07 94076.1 0.113481 0.0846847 10675.8 0.00249514
1.56156e+07 84849.3 0.112196 0.0851351 9519.79 0.00255327
1.58158e+07 76628.2 0.111035 0.0855856 8508.39 0.00261414
1.6016e+07 69292.4 0.109984 0.086036 7621.02 0.00267773
1.62162e+07 62737.2 0.109033 0.0864865 6840.4 0.00274398
1.64164e+07 56871.5 0.108172 0.0869369 6151.91 0.00281288
1.66166e+07 51615.5 0.107394 0.0873874 5543.19 0.00288438
1.68168e+07 46899.8 0.10669 0.0878378 5003.72 0.00295845
1.7017e+07 42663.2 0.106052 0.0882883 4524.54 0.00303507
1.72172e+07 38852.4 0.105476 0.0887387 4097.99 0.0031142
1.74174e+07 35420.2 0.104954 0.0891892 3717.5 0.00319582
1.76176e+07 32325.4 0.104482 0.0896396 3377.43 0.00327991
1.78178e+07 29531.5 0.104055 0.0900901 3072.91 0.00336643
1.8018e+07 27006.3 0.103669 0.0905405 2799.72 0.00345537
1.82182e+07 24721.5 0.10332 0.090991 2554.21 0.0035467
1.84184e+07 22651.8 0.103003 0.0914414 2333.21 0.00364041
1.86186e+07 20775 0.102717 0.0918919 2133.95 0.00373648
1.88188e+07 19071.4 0.102458 0.0923423 1954.03 0.0038349
1.9019e+07 17523.3 0.102224 0.0927928 1791.31 0.00393564
1.92192e+07 16115.2 0.102012 0.0932432 1643.95 0.0040387
1.94194e+07 14833.1 0.101821 0.0936937 1510.32 0.00414406
1.96196e+07 13664.6 0.101647 0.0941441 1388.97 0.00425171
1.98198e+07 12598.6 0.10149 0.0945946 1278.64 0.00436165
2.002e+07 11625.3 0.101348 0.095045 1178.21 0.00447386
2.02202e+07 10735.8 0.10122 0.0954955 1086.68 0.00458833
2.04204e+07 9922.11 0.101104 0.0959459 1003.16 0.00470507
2.06206e+07 9177.14 0.100999 0.0963964 926.879 0.00482406
2.08208e+07 8494.51 0.100904 0.0968468 857.126 0.00494531
2.1021e+07 7868.48 0.100817 0.0972973 793.28 0.0050688
2.12212e+07 7293.87 0.10074 0.0977477 734.782 0.00519454
2.14214e+07 6766.05 0.100669 0.0981982 681.132 0.00532253
2.16216e+07 6280.8 0.100605 0.0986486 631.883 0.00545276
2.18218e+07 5834.36 0.100548 0.0990991 586.632 0.00558523
2.2022e+07 5423.3 0.100496 0.0995495 545.018 0.00571995
2.22222e+07 5044.54 0.100448 0.1 506.716 0.00585692
2.24224e+07 4695.27 0.100406 0.10045 471.432 0.00599613
2.26226e+07 4372.98 0.100367 0.100901 438.903 0.0061376
2.28228e+07 4075.36 0.100332 0.101351 408.89 0.00628132
2.3023e+07 3800.34 0.1003 0.101802 381.176 0.0064273
2.32232e+07 3546.02 0.100272 0.102252 355.566 0.00657554
2.34234e+07 3310.69 0.100246 0.102703 331.883 0.00672606
2.36236e+07 3092.78 0.100222 0.103153 309.966 0.00687884
2.38238e+07 2890.88 0.100201 0.103604 289.67 0.00703391
2.4024e+07 2703.68 0.100182 0.104054 270.86 0.00719126
2.42242e+07 2530.01 0.100165 0.104505 253.418 0.00735091
2.44244e+07 2368.79 0.100149 0.104955 237.232 0.00751285
2.46246e+07 2219.04 0.100135 0.105405 222.203 0.0076771
2.48248e+07 2079.85 0.100122 0.105856 208.239 0.00784367
2.5025e+07 1950.41 0.10011 0.106306 195.256 0.00801255
2.52252e+07 1829.96 0.1001 0.106757 183.178 0.00818377
2.54254e+07 1717.81 0.10009 0.107207 171.936 0.00835732
2.56256e+07 1613.34 0.100082 0.107658 161.466 0.00853322
2.58258e+07 1515.96 0.100074 0.108108 151.708 0.00871148
2.6026e+07 1425.14 0.100067 0.108559 142.61 0.0088921
2.62262e+07 1340.4 0.100061 0.109009 134.121 0.0090751
2.64264e+07 1261.29 0.100055 0.109459 126.198 0.00926048
2.66266e+07 1187.39 0.10005 0.10991 118.797 0.00944825
2.68268e+07 1118.32 0.100045 0.11036 111.882 0.00963842
2.7027e+07 1053.74 0.100041 0.110811 105.417 0.009831
2.72272e+07 993.331 0.100037 0.111261 99.3696 0.010026
2.74274e+07 936.787 0.100033 0.111712 93.7098 0.0102234
2.76276e+07 883.838 0.10003 0.112162 88.4103 0.0104233
2.78278e+07 834.232 0.100027 0.112613 83.4459 0.0106257
2.8028e+07 787.736 0.100025 0.113063 78.793 0.0108305
2.82282e+07 744.136 0.100022 0.113514 74.4302 0.0110377
2.84284e+07 703.232 0.10002 0.113964 70.3373 0.0112475
2.86286e+07 664.84 0.100018 0.114414 66.4961 0.0114597
2.88288e+07 628.789 0.100016 0.114865 62.8893 0.0116745
2.9029e+07 594.924 0.100015 0.115315 59.5012 0.0118917
2.92292e+07 563.096 0.100013 0.115766 56.3172 0.0121115
2.94294e+07 533.171 0.100012 0.116216 53.3236 0.0123338
2.96296e+07 505.023 0.100011 0.116667 50.5079 0.0125587
2.98298e+07 478.536 0.10001 0.117117 47.8584 0.0127861
3.003e+07 453.602 0.100009 0.117568 45.3643 0.0130161
3.02302e+07 430.12 0.100008 0.118018 43.0155 0.0132487
3.04304e+07 407.997 0.100007 0.118468 40.8027 0.0134838
3.06306e+07 387.145 0.100007 0.118919 38.7171 0.0137216
3.08308e+07 367.485 0.100006 0.119369 36.7507 0.013962
3.1031e+07 348.941 0.100005 0.11982 34.896 0.014205
3.12312e+07 331.443 0.100005 0.12027 33.1459 0.0144506
3.14314e+07 314.926 0.100004 0.120721 31.494 0.0146989
3.16316e+07 299.329 0.100004 0.121171 29.9341 0.0149498
3.18318e+07 284.596 0.100004 0.121622 28.4606 0.0152034
3.2032e+07 270.673 0.100003 0.122072 27.0682 0.0154596
3.22322e+07 257.512 0.100003 0.122523 25.752 0.0157186
3.24324e+07 245.067 0.100003 0.122973 24.5074 0.0159802
3.26326e+07 233.294 0.100002 0.123423 23.33 0.0162446
3.28328e+07 222.154 0.100002 0.123874 22.2159 0.0165117
3.3033e+07 211.609 0.100002 0.124324 21.1613 0.0167815
3.32332e+07 201.623 0.100002 0.124775 20.1627 0.0170541
3.34334e+07 192.165 0.100002 0.125225 19.2168 0.0173294
3.36336e+07 183.202 0.100001 0.125676 18.3205 0.0176074
3.38338e+07 174.708 0.100001 0.126126 17.471 0.0178883
3.4034e+07 166.653 0.100001 0.126577 16.6655 0.0181719
3.42342e+07 159.014 0.100001 0.127027 15.9016 0.0184583
3.44344e+07 151.767 0.100001 0.127477 15.1769 0.0187476
3.46346e+07 144.889 0.100001 0.127928 14.4891 0.0190396
3.48348e+07 138.36 0.100001 0.128378 13.8361 0.0193345
3.5035e+07 132.16 0.100001 0.128829 13.2161 0.0196322
3.52352e+07 126.271 0.100001 0.129279 12.6272 0.0199328
3.54354e+07 120.675 0.100001 0.12973 12.0676 0.0202362
3.56356e+07 115.357 0.100001 0.13018 11.5358 0.0205425
3.58358e+07 110.301 0.1 0.130631 11.0302 0.0208517
3.6036e+07 105.493 0.1 0.131081 10.5494 0.0211638
3.62362e+07 100.92 0.1 0.131532 10.092 0.0214788
3.64364e+07 96.5682 0.1 0.131982 9.65685 0.0217967
3.66366e+07 92.4265 0.1 0.132432 9.24268 0.0221175
3.68368e+07 88.4836 0.1 0.132883 8.84838 0.0224413
3.7037e+07 84.7289 0.1 0.133333 8.47291 0.022768
3.72372e+07 81.1525 0.1 0.133784 8.11527 0.0230976
3.74374e+07 77.745 0.1 0.134234 7.77452 0.0234302
3.76376e+07 74.4976 0.1 0.134685 7.44978 0.0237659
3.78378e+07 71.4021 0.1 0.135135 7.14022 0.0241044
3.8038e+07 68.4505 0.1 0.135586 6.84506 0.024446
3.82382e+07 65.6354 0.1 0.136036 6.56355 0.0247906
3.84384e+07 62.9499 0.1 0.136486 6.295 0.0251383
3.86386e+07 60.3875 0.1 0.136937 6.03875 0.0254889
3.88388e+07 57.9417 0.1 0.137387 5.79418 0.0258426
3.9039e+07 55.6069 0.1 0.137838 5.56069 0.0261994
3.92392e+07 53.3773 0.1 0.138288 5.33774 0.0265592
3.94394e+07 51.2478 0.1 0.138739 5.12479 0.0269221
3.96396e+07 49.2134 0.1 0.139189 4.92135 0.027288
3.98398e+07 47.2695 0.1 0.13964 4.72695 0.0276571
4.004e+07 45.4114 0.1 0.14009 4.54115 0.0280293
4.02402e+07 43.6352 0.1 0.140541 4.36352 0.0284046
4.04404e+07 41.9367 0.1 0.140991 4.19367 0.028783
4.06406e+07 40.3122 0.1 0.141441 4.03123 0.0291645
4.08408e+07 38.7582 0.1 0.141892 3.87582 0.0295492
4.1041e+07 37.2713 0.1 0.142342 3.72713 0.029937
4.12412e+07 35.8482 0.1 0.142793 3.58482 0.030328
4.14414e+07 34.486 0.1 0.143243 3.4486 0.0307222
4.16416e+07 33.1817 0.1 0.143694 3.31817 0.0311196
4.18418e+07 31.9326 0.1 0.144144 3.19327 0.0315202
4.2042e+07 30.7362 0.1 0.144595 3.07363 0.0319239
4.22422e+07 29.59 0.1 0.145045 2.959 0.0323309
4.24424e+07 28.4917 0.1 0.145495 2.84917 0.0327412
4.26426e+07 27.439 0.1 0.145946 2.7439 0.0331546
4.28428e+07 26.4299 0.1 0.146396 2.64299 0.0335713
4.3043e+07 25.4623 0.1 0.146847 2.54623 0.0339913
4.32432e+07 24.5344 0.1 0.147297 2.45344 0.0344145
4.34434e+07 23.6443 0.1 0.147748 2.36443 0.034841
4.36436e+07 22.7905 0.1 0.148198 2.27905 0.0352708
4.38438e+07 21.9711 0.1 0.148649 2.19711 0.0357039
4.4044e+07 21.1848 0.1 0.149099 2.11848 0.0361403
4.42442e+07 20.4299 0.1 0.14955 2.04299 0.0365801
4.44444e+07 19.7052 0.1 0.15 1.97052 0.0370231
4.46446e+07 19.0093 0.1 0.15045 1.90093 0.0374695
4.48448e+07 18.3409 0.1 0.150901 1.83409 0.0379192
4.5045e+07 17.6989 0.1 0.151351 1.76989 0.0383723
4.52452e+07 17.082 0.1 0.151802 1.7082 0.0388288
4.54454e+07 16.4892 0.1 0.152252 1.64892 0.0392887
4.56456e+07 15.9194 0.1 0.152703 1.59194 0.0397519
4.58458e+07 15.3717 0.1 0.153153 1.53717 0.0402185
4.6046e+07 14.8451 0.1 0.153604 1.48451 0.0406886
4.62462e+07 14.3387 0.1 0.154054 1.43387 0.041162
4.64464e+07 13.8516 0.1 0.154505 1.38516 0.0416389
4.66466e+07 13.3831 0.1 0.154955 1.33831 0.0421193
4.68468e+07 12.9324 0.1 0.155405 1.29324 0.042603
4.7047e+07 12.4986 0.1 0.155856 1.24986 0.0430903
4.72472e+07 12.0812 0.1 0.156306 1.20812 0.043581
4.74474e+07 11.6793 0.1 0.156757 1.16793 0.0440752
4.76476e+07 11.2925 0.1 0.157207 1.12925 0.0445728
4.78478e+07 10.92 0.1 0.157658 1.092 0.045074
4.8048e+07 10.5612 0.1 0.158108 1.05612 0.0455787
4.82482e+07 10.2157 0.1 0.158559 1.02157 0.0460869
4.84484e+07 9.88285 0.1 0.159009 0.988285 0.0465986
4.86486e+07 9.56214 0.1 0.159459 0.956214 0.0471138
4.88488e+07 9.25309 0.1 0.15991 0.925309 0.0476326
4.9049e+07 8.95523 0.1 0.16036 0.895523 0.048155
4.92492e+07 8.66811 0.1 0.160811 0.866811 0.0486809
4.94494e+07 8.39131 0.1 0.161261 0.839131 0.0492104
4.96496e+07 8.12441 0.1 0.161712 0.812441 0.0497435
4.98498e+07 7.86702 0.1 0.162162 0.786702 0.0502801
5.00501e+07 7.61877 0.1 0.162613 0.761877 0.0508204
5.02503e+07 7.3793 0.1 0.163063 0.73793 0.0513643
5.04505e+07 7.14827 0.1 0.163514 0.714827 0.0519118
5.06507e+07 6.92534 0.1 0.163964 0.692534 0.052463
5.08509e+07 6.7102 0.1 0.164414 0.67102 0.0530178
5.10511e+07 6.50255 0.1 0.164865 0.650255 0.0535762
5.12513e+07 6.3021 0.1 0.165315 0.63021 0.0541383
5.14515e+07 6.10858 0.1 0.165766 0.610858 0.0547041
5.16517e+07 5.92172 0.1 0.166216 0.592172 0.0552736
5.18519e+07 5.74126 0.1 0.166667 0.574126 0.0558467
5.20521e+07 5.56696 0.1 0.167117 0.556696 0.0564236
5.22523e+07 5.3986 0.1 0.167568 0.53986 0.0570041
5.24525e+07 5.23594 0.1 0.168018 0.523594 0.0575884
5.26527e+07 5.07878 0.1 0.168468 0.507878 0.0581764
5.28529e+07 4.9269 0.1 0.168919 0.49269 0.0587682
5.30531e+07 4.78011 0.1 0.169369 0.478011 0.0593637
5.32533e+07 4.63823 0.1 0.16982 0.463823 0.0599629
5.34535e+07 4.50106 0.1 0.17027 0.450106 0.0605659
5.36537e+07 4.36844 0.1 0.170721 0.436844 0.0611727
5.38539e+07 4.24021 0.1 0.171171 0.424021 0.0617833
5.40541e+07 4.11619 0.1 0.171622 0.411619 0.0623977
5.42543e+07 3.99623 0.1 0.172072 0.399623 0.0630158
5.44545e+07 3.8802 0.1 0.172523 0.38802 0.0636378
5.46547e+07 3.76794 0.1 0.172973 0.376794 0.0642636
5.48549e+07 3.65932 0.1 0.173423 0.365932 0.0648933
5.50551e+07 3.55421 0.1 0.173874 0.355421 0.0655268
5.52553e+07 3.45249 0.1 0.174324 0.345249 0.0661641
5.54555e+07 3.35403 0.1 0.174775 0.335403 0.0668053
5.56557e+07 3.25872 0.1 0.175225 0.325872 0.0674504
5.58559e+07 3.16644 0.1 0.175676 0.316644 0.0680993
5.60561e+07 3.0771 0.1 0.176126 0.30771 0.0687522
5.62563e+07 2.99057 0.1 0.176577 0.299057 0.0694089
5.64565e+07 2.90678 0.1 0.177027 0.290678 0.0700695
5.66567e+07 2.82562 0.1 0.177477 0.282562 0.0707341
5.68569e+07 2.747 0.1 0.177928 0.2747 0.0714026
5.70571e+07 2.67083 0.1 0.178378 0.267083 0.072075
5.72573e+07 2.59703 0.1 0.178829 0.259703 0.0727513
5.74575e+07 2.52552 0.1 0.179279 0.252552 0.0734317
5.76577e+07 2.45621 0.1 0.17973 0.245621 0.0741159
5.78579e+07 2.38903 0.1 0.18018 0.238903 0.0748042
5.80581e+07 2.32392 0.1 0.180631 0.232392 0.0754964
5.82583e+07 2.2608 0.1 0.181081 0.22608 0.0761926
5.84585e+07 2.19959 0.1 0.181532 0.219959 0.0768928
5.86587e+07 2.14025 0.1 0.181982 0.214025 0.0775971
5.88589e+07 2.0827 0.1 0.182432 0.20827 0.0783053
5.90591e+07 2.02688 0.1 0.182883 0.202688 0.0790176
5.92593e+07 1.97275 0.1 0.183333 0.197275 0.0797339
5.94595e+07 1.92023 0.1 0.183784 0.192023 0.0804542
5.96597e+07 1.86928 0.1 0.184234 0.186928 0.0811786
5.98599e+07 1.81985 0.1 0.184685 0.181985 0.0819071
6.00601e+07 1.77188 0.1 0.185135 0.177188 0.0826396
6.02603e+07 1.72533 0.1 0.185586 0.172533 0.0833762
6.04605e+07 1.68016 0.1 0.186036 0.168016 0.0841169
6.06607e+07 1.6363 0.1 0.186486 0.16363 0.0848617
6.08609e+07 1.59374 0.1 0.186937 0.159374 0.0856107
6.10611e+07 1.55241 0.1 0.187387 0.155241 0.0863637
6.12613e+07 1.51229 0.1 0.187838 0.151229 0.0871208
6.14615e+07 1.47332 0.1 0.188288 0.147332 0.0878821
6.16617e+07 1.43549 0.1 0.188739 0.143549 0.0886476
6.18619e+07 1.39874 0.1 0.189189 0.139874 0.0894172
6.20621e+07 1.36305 0.1 0.18964 0.136305 0.0901909
6.22623e+07 1.32838 0.1 0.19009 0.132838 0.0909688
6.24625e+07 1.2947 0.1 0.190541 0.12947 0.0917509
6.26627e+07 1.26197 0.1 0.190991 0.126197 0.0925372
6.28629e+07 1.23018 0.1 0.191441 0.123018 0.0933277
6.30631e+07 1.19928 0.1 0.191892 0.119928 0.0941224
6.32633e+07 1.16925 0.1 0.192342 0.116925 0.0949213
6.34635e+07 1.14007 0.1 0.192793 0.114007 0.0957245
6.36637e+07 1.1117 0.1 0.193243 0.11117 0.0965318
6.38639e+07 1.08413 0.1 0.193694 0.108413 0.0973435
6.40641e+07 1.05732 0.1 0.194144 0.105732 0.0981593
6.42643e+07 1.03125 0.1 0.194595 0.103125 0.0989794
6.44645e+07 1.00591 0.1 0.195045 0.100591 0.0998038
6.46647e+07 0.981262 0.1 0.195495 0.0981262 0.100633
6.48649e+07 0.957294 0.1 0.195946 0.0957294 0.101465
6.50651e+07 0.933982 0.1 0.196396 0.0933982 0.102303
6.52653e+07 0.911306 0.1 0.196847 0.0911306 0.103144
6.54655e+07 0.889249 0.1 0.197297 0.0889249 0.10399
6.56657e+07 0.86779 0.1 0.197748 0.086779 0.10484
6.58659e+07 0.846911 0.1 0.198198 0.0846911 0.105695
6.60661e+07 0.826597 0.1 0.198649 0.0826597 0.106554
6.62663e+07 0.806829 0.1 0.199099 0.0806829 0.107417
6.64665e+07 0.787591 0.1 0.19955 0.0787591 0.108285
6.66667e+07 0.768867 0.1 0.2 0.0768867 0.109156
6.68669e+07 0.750643 0.1 0.20045 0.0750643 0.110033
6.70671e+07 0.732903 0.1 0.200901 0.0732903 0.110914
6.72673e+07 0.715634 0.1 0.201351 0.0715634 0.111799
6.74675e+07 0.698821 0.1 0.201802 0.0698821 0.112688
6.76677e+07 0.682451 0.1 0.202252 0.0682451 0.113582
6.78679e+07 0.666511 0.1 0.202703 0.0666511 0.11448
6.80681e+07 0.650989 0.1 0.203153 0.0650989 0.115383
6.82683e+07 0.635873 0.1 0.203604 0.0635873 0.11629
6.84685e+07 0.62115 0.1 0.204054 0.062115 0.117202
6.86687e+07 0.606809 0.1 0.204505 0.0606809 0.118118
6.88689e+07 0.59284 0.1 0.204955 0.059284 0.119039
6.90691e+07 0.579232 0.1 0.205405 0.0579232 0.119964
6.92693e+07 0.565974 0.1 0.205856 0.0565974 0.120893
6.94695e+07 0.553056 0.1 0.206306 0.0553056 0.121827
6.96697e+07 0.54047 0.1 0.206757 0.054047 0.122765
6.98699e+07 0.528204 0.1 0.207207 0.0528204 0.123708
7.00701e+07 0.516251 0.1 0.207658 0.0516251 0.124656
7.02703e+07 0.504601 0.1 0.208108 0.0504601 0.125608
7.04705e+07 0.493246 0.1 0.208559 0.0493246 0.126565
7.06707e+07 0.482178 0.1 0.209009 0.0482178 0.127526
7.08709e+07 0.471389 0.1 0.209459 0.0471389 0.128491
7.10711e+07 0.46087 0.1 0.20991 0.046087 0.129461
7.12713e+07 0.450615 0.1 0.21036 0.0450615 0.130436
7.14715e+07 0.440615 0.1 0.210811 0.0440615 0.131416
7.16717e+07 0.430865 0.1 0.211261 0.0430865 0.132399
7.18719e+07 0.421356 0.1 0.211712 0.0421356 0.133388
7.20721e+07 0.412083 0.1 0.212162 0.0412083 0.134381
7.22723e+07 0.403039 0.1 0.212613 0.0403039 0.135379
7.24725e+07 0.394218 0.1 0.213063 0.0394218 0.136381
7.26727e+07 0.385613 0.1 0.213514 0.0385613 0.137388
7.28729e+07 0.377219 0.1 0.213964 0.0377219 0.1384
7.30731e+07 0.369031 0.1 0.214414 0.0369031 0.139416
7.32733e+07 0.361041 0.1 0.214865 0.0361041 0.140437
7.34735e+07 0.353246 0.1 0.215315 0.0353246 0.141462
7.36737e+07 0.345639 0.1 0.215766 0.0345639 0.142493
7.38739e+07 0.338216 0.1 0.216216 0.0338216 0.143528
7.40741e+07 0.330972 0.1 0.216667 0.0330972 0.144567
7.42743e+07 0.323902 0.1 0.217117 0.0323902 0.145611
7.44745e+07 0.317002 0.1 0.217568 0.0317002 0.14666
7.46747e+07 0.310266 0.1 0.218018 0.0310266 0.147714
7.48749e+07 0.303691 0.1 0.218468 0.0303691 0.148772
7.50751e+07 0.297273 0.1 0.218919 0.0297273 0.149836
7.52753e+07 0.291006 0.1 0.219369 0.0291006 0.150903
7.54755e+07 0.284888 0.1 0.21982 0.0284888 0.151976
7.56757e+07 0.278914 0.1 0.22027 0.0278914 0.153053
7.58759e+07 0.273081 0.1 0.220721 0.0273081 0.154136
7.60761e+07 0.267385 0.1 0.221171 0.0267385 0.155222
7.62763e+07 0.261822 0.1 0.221622 0.0261822 0.156314
7.64765e+07 0.256388 0.1 0.222072 0.0256388 0.157411
7.66767e+07 0.251082 0.1 0.222523 0.0251082 0.158512
7.68769e+07 0.245898 0.1 0.222973 0.0245898 0.159618
7.70771e+07 0.240835 0.1 0.223423 0.0240835 0.160729
7.72773e+07 0.235888 0.1 0.223874 0.0235888 0.161844
7.74775e+07 0.231056 0.1 0.224324 0.0231056 0.162965
7.76777e+07 0.226335 0.1 0.224775 0.0226335 0.16409
7.78779e+07 0.221722 0.1 0.225225 0.0221722 0.16522
7.80781e+07 0.217214 0.1 0.225676 0.0217214 0.166356
7.82783e+07 0.21281 0.1 0.226126 0.021281 0.167495
7.84785e+07 0.208505 0.1 0.226577 0.0208505 0.16864
7.86787e+07 0.204298 0.1 0.227027 0.0204298 0.16979
7.88789e+07 0.200187 0.1 0.227477 0.0200187 0.170944
7.90791e+07 0.196168 0.1 0.227928 0.0196168 0.172104
7.92793e+07 0.19224 0.1 0.228378 0.019224 0.173268
7.94795e+07 0.1884 0.1 0.228829 0.01884 0.174437
7.96797e+07 0.184646 0.1 0.229279 0.0184646 0.175612
7.98799e+07 0.180976 0.1 0.22973 0.0180976 0.176791
8.00801e+07 0.177388 0.1 0.23018 0.0177388 0.177975
8.02803e+07 0.17388 0.1 0.230631 0.017388 0.179164
8.04805e+07 0.17045 0.1 0.231081 0.017045 0.180358
8.06807e+07 0.167096 0.1 0.231532 0.0167096 0.181556
8.08809e+07 0.163815 0.1 0.231982 0.0163815 0.18276
8.10811e+07 0.160607 0.1 0.232432 0.0160607 0.183969
8.12813e+07 0.15747 0.1 0.232883 0.015747 0.185183
8.14815e+07 0.154401 0.1 0.233333 0.0154401 0.186402
8.16817e+07 0.151399 0.1 0.233784 0.0151399 0.187626
